OID_,lst_2015sp,lst_2015su,lst_2015au,lst_2015wi,lst_2016sp,lst_2016su,lst_2016au,lst_2016wi,lst_2017sp,lst_2017su,lst_2017au,lst_2017wi,lst_2018sp,lst_2018su,lst_2018au,lst_2018wi,lst_2019sp,lst_2019su,lst_2019au,lst_2019wi,lst_2020sp,lst_2020su,lst_2020au,lst_2020wi,lst_2021sp,lst_2021su,lst_2021au,lst_2021wi,lst_2022sp,lst_2022su,lst_2022au,lst_2022wi,lst_2023sp,lst_2023su,lst_2023au,lst_2023wi
364,20.59631096,42.02729636,33.88557272,23.92888046,26.88204974,48.90777062,42.74849858,24.86541794,38.32899872,42.0683126,34.3948577,21.799454,35.63047193,48.7334516,36.16539206,23.72038124,32.08256717,43.31418089,36.15171998,21.49525022,30.77517452,41.00530838,32.11845638,25.13715053,36.9241925,34.71102455,33.19513268,26.09932316,30.95632958,41.92133774,40.13029526,24.75262328,29.39429444,40.68059648,30.52224104,24.7218611
365,13.67140244,43.74997844,36.05601542,24.80560259,28.67651024,49.42389164,44.7856385,25.75752116,39.80216534,44.47118066,36.45592376,22.70352029,36.08506859,49.45807184,37.91200028,27.38962571,33.60358607,43.78074062,35.88682343,22.5514184,31.27249643,43.09030058,32.94903524,27.1657454,34.5144884,37.56678026,35.88511442,26.78634518,32.29961144,37.6761569,42.30073796,25.47040748,29.94459566,45.59229122,31.4211803,25.17303974
366,20.59631096,42.02729636,33.88557272,23.92888046,26.88204974,48.90777062,42.74849858,24.86541794,38.32899872,42.0683126,34.3948577,21.799454,35.63047193,48.7334516,36.16539206,23.72038124,32.08256717,43.31418089,36.15171998,21.49525022,30.77517452,41.00530838,32.11845638,25.13715053,36.9241925,34.71102455,33.19513268,26.09932316,30.95632958,41.92133774,40.13029526,24.75262328,29.39429444,40.68059648,30.52224104,24.7218611
367,16.57330142,37.90516424,33.82404836,23.02139615,27.44602304,44.82323672,41.04803363,25.4909156,29.91383348,40.46526122,33.5232626,20.70910562,32.40215204,47.45511212,35.32455914,26.50948556,30.11207864,41.42743385,35.55356648,21.7481837,29.16870512,38.55800606,25.70966888,25.66352561,32.99688752,38.52382586,34.19319452,25.01922884,30.27956162,42.96896087,37.21643321,23.88102818,29.20288532,38.50673576,28.2595118,24.19548602
368,16.57330142,37.90516424,33.82404836,23.02139615,27.44602304,44.82323672,41.04803363,25.4909156,29.91383348,40.46526122,33.5232626,20.70910562,32.40215204,47.45511212,35.32455914,26.50948556,30.11207864,41.42743385,35.55356648,21.7481837,29.16870512,38.55800606,25.70966888,25.66352561,32.99688752,38.52382586,34.19319452,25.01922884,30.27956162,42.96896087,37.21643321,23.88102818,29.20288532,38.50673576,28.2595118,24.19548602
369,16.08452456,38.35805189,34.08894491,23.3033828,27.73142771,45.40430012,42.01533329,25.70795987,33.4036319,40.75921094,33.76594202,21.37903754,32.73540899,48.16264226,35.4886241,26.84445152,30.36501212,41.54706455,35.82359006,22.1070758,29.52759722,38.53407992,32.27226728,25.92329513,33.14557139,38.72207102,34.55892266,25.3029245,30.64870778,43.61325764,37.70521007,24.14421572,29.4387287,37.75818938,28.122791,24.47234564
370,13.19287964,37.18396202,29.68140812,21.80287202,24.20574008,44.11570658,40.17814754,25.21576499,35.42709974,41.6581502,33.1643705,20.13146024,32.13212846,48.74712368,34.94515892,25.53364085,27.09396698,42.22383251,34.10090798,17.91658328,28.7893049,38.63149349,32.39873402,25.17474875,33.00030554,39.34585967,32.59868819,24.4996898,29.72584238,44.39769323,38.74428815,23.3888333,32.48760254,39.8465996,27.24435986,23.49479192
371,15.23001956,41.65131416,32.52178274,22.01308025,27.96214406,44.68138889,29.80787486,25.39350203,34.38460364,41.19329948,32.78667929,19.77940418,32.63799542,40.02604565,35.46127994,25.98994652,31.46048753,nan,31.52713892,16.40410943,28.70043638,38.40761318,30.06251735,25.19354786,32.61065126,38.65712864,31.34940188,24.60052139,29.2165574,41.27020493,37.87782008,23.337563,28.35521636,38.55117002,27.00168044,23.48795588
372,12.8442416,40.62590816,33.87531866,23.95622462,26.61544418,46.42287008,39.16641362,26.40694496,36.98742587,44.00632994,34.29402611,21.3038411,34.43416493,48.20024048,37.10192954,26.76583706,33.22589486,nan,31.84159676,22.67275811,30.04030022,37.26257648,30.85549799,26.17622861,33.64631132,37.74793532,34.12825214,26.07368801,31.67411378,44.36864006,40.05851684,25.85322572,29.67115406,42.46822094,28.52611736,25.08758924
373,12.95361824,40.28068814,31.98857162,23.14444487,27.60666998,39.54752285,35.70395936,26.21382683,36.4285796,43.86960914,34.39314869,20.8082282,34.39827572,nan,36.14830196,25.92842216,32.51152868,nan,31.31180366,21.62513498,29.82496496,41.13861116,9.71504429,25.68574274,33.22931288,39.37149482,35.0955518,25.78999235,31.22635316,42.89034641,40.50627746,25.16962172,33.60016805,41.7436007,28.15355318,24.61590248
374,12.95361824,40.28068814,31.98857162,23.14444487,27.60666998,39.54752285,35.70395936,26.21382683,36.4285796,43.86960914,34.39314869,20.8082282,34.39827572,nan,36.14830196,25.92842216,32.51152868,nan,31.31180366,21.62513498,29.82496496,41.13861116,9.71504429,25.68574274,33.22931288,39.37149482,35.0955518,25.78999235,31.22635316,42.89034641,40.50627746,25.16962172,33.60016805,41.7436007,28.15355318,24.61590248
